web_server;compiler;waiting_time
0;73020;893231
0;75029;891240
0;57973;909265
2;57269;912988
0;54752;915512
2;85516;886731
1;69749;902243
237;66001;910246
0;65765;910496
1;73234;905509
1;62511;915758
1;54487;927003
1;66259;915488
1;68997;913001
2;72509;915489
0;68003;920011
470;69276;920991
0;82749;909500
1;63262;929981
1;35783;957235
0;65002;929745
0;57518;941483
1;57511;941499
0;73008;926254
2;74237;926758
472;51012;951743
0;58024;946994
1;66488;939248
1;64291;941732
0;74740;935747
0;68500;942493
2;68230;942765
0;63973;947006
0;62760;948508
473;56025;957228
2;47767;967487
472;66756;953996
5;72997;951757
0;81268;946002
0;52776;976493
0;72519;957480
0;61734;972014
1;65009;968979
1;59479;974518
0;64219;970014
0;64519;969740
2;57761;978761
1;76023;963734
0;73996;965995
0;57753;981754
1;65476;974755
0;82261;958004
0;53007;991743
0;58254;989502
1;61997;986234
1;63499;986248
0;69757;980752
0;44495;1010252
1;76727;981016
1;61001;996743
1;71988;985999
1;58274;1000739
1;56257;1006235
0;57495;1007758
1;78739;986998
2;87235;983018
1;61268;1010487
1;61972;1013258
2;58993;1016250
1;74745;1000757
3;67967;1010267
0;50506;1027245
2;53246;1024740
1;72259;1006254
2;68993;1010503
2;59757;1021500
0;65967;1016014
1;70460;1013272
3;70759;1016500
470;54274;1034492
2;68748;1021767
1;64493;1026490
1;74750;1016261
1;62236;1031758
0;51504;1042247
1;58284;1035988
4;58000;1037252
1;61265;1034509
0;72489;1029256
0;55273;1046984
0;55768;1048740
1;56513;1052489
1;52523;1056493
0;69985;1040009
1;60745;1049501
0;57542;1055480
1;64268;1052249
1;58520;1064481
1;70017;1055247
1;64767;1060497
0;67000;1058742
0;72761;1055235
1;76008;1052233
0;50004;1077758
0;62263;1065976
221;58256;1069766
9;63476;1066012
0;73528;1056484
1;73260;1058747
471;68759;1066000
1;58235;1076755
1;67521;1069251
1;71507;1065747
2;64005;1080010
1;59995;1084747
0;77250;1071263
2;63477;1085259
2;78027;1070748
1;50489;1101007
2;70499;1085743
0;67987;1088755
